Date,Close,Open,High,Low,Volume,変化率 %,sma5,sma15,sma25,sma50,sma75,S1,S5to25,S5to15,S25to50,S50to75
2018-01-04,15.52,16.55,16.59,15.12,,-3.18%,,,,,,,,,,
2018-01-05,15.67,14.78,15.84,14.78,,0.97%,,,,,,0.0,0.0,0.0,0.0,0.0
2018-01-09,16.81,16.61,16.93,16.14,,7.28%,,,,,,0.0,0.0,0.0,0.0,0.0
2018-01-10,16.17,16.8,16.8,16.17,,-3.81%,,,,,,0.0,0.0,0.0,0.0,0.0
2018-01-11,15.72,16.43,16.46,15.7,,-2.78%,15.978,,,,,-1.0,0.0,0.0,0.0,0.0
2018-01-12,14.91,15.76,15.98,14.91,,-5.15%,15.856,,,,,0.0,0.0,0.0,0.0,0.0
2018-01-15,14.91,15.46,15.52,14.83,,0.00%,15.704000000000002,,,,,0.0,0.0,0.0,0.0,0.0
2018-01-16,14.74,14.88,15.29,14.56,,-1.14%,15.290000000000001,,,,,0.0,0.0,0.0,0.0,0.0
2018-01-17,15.48,15.18,15.68,15.07,,5.02%,15.152000000000001,,,,,0.0,0.0,0.0,0.0,0.0
2018-01-18,16.12,15.53,16.71,15.5,,4.13%,15.232,,,,,0.0,0.0,0.0,0.0,0.0
2018-01-19,15.85,16.1,16.21,15.72,,-1.67%,15.419999999999998,,,,,0.0,0.0,0.0,0.0,0.0
2018-01-22,16.33,16.27,16.78,16.17,,3.03%,15.704000000000002,,,,,0.0,0.0,0.0,0.0,0.0
2018-01-23,16.16,16.32,16.51,15.97,,-1.04%,15.988,,,,,0.0,0.0,0.0,0.0,0.0
2018-01-24,16.33,16.41,16.41,16.07,,1.05%,16.157999999999998,,,,,0.0,0.0,0.0,0.0,0.0
2018-01-25,16.78,16.83,17.04,16.31,,2.76%,16.29,15.833333333333334,,,,0.0,0.0,1.0,0.0,0.0
2018-01-26,16.66,16.56,17.2,16.31,,-0.72%,16.451999999999998,15.909333333333333,,,,0.0,0.0,0.0,0.0,0.0
2018-01-29,16.53,17.27,17.28,16.48,,-0.78%,16.492,15.966666666666667,,,,0.0,0.0,0.0,0.0,0.0
2018-01-30,17.65,16.75,17.94,16.59,,6.78%,16.79,16.022666666666666,,,,0.0,0.0,0.0,0.0,0.0
2018-01-31,17.97,18.29,18.29,16.93,,1.81%,17.118000000000002,16.142666666666667,,,,0.0,0.0,0.0,0.0,0.0
