Date,Close,Open,High,Low,Volume,変化率 %
2018/1/4,15.52,16.55,16.59,15.12,,-3.18%
2018/1/5,15.67,14.78,15.84,14.78,,0.97%
2018/1/9,16.81,16.61,16.93,16.14,,7.28%
2018/1/10,16.17,16.8,16.8,16.17,,-3.81%
2018/1/11,15.72,16.43,16.46,15.7,,-2.78%
2018/1/12,14.91,15.76,15.98,14.91,,-5.15%
2018/1/15,14.91,15.46,15.52,14.83,,0.00%
2018/1/16,14.74,14.88,15.29,14.56,,-1.14%
2018/1/17,15.48,15.18,15.68,15.07,,5.02%
2018/1/18,16.12,15.53,16.71,15.5,,4.13%
2018/1/19,15.85,16.1,16.21,15.72,,-1.67%
2018/1/22,16.33,16.27,16.78,16.17,,3.03%
2018/1/23,16.16,16.32,16.51,15.97,,-1.04%
2018/1/24,16.33,16.41,16.41,16.07,,1.05%
2018/1/25,16.78,16.83,17.04,16.31,,2.76%
2018/1/26,16.66,16.56,17.2,16.31,,-0.72%
2018/1/29,16.53,17.27,17.28,16.48,,-0.78%
2018/1/30,17.65,16.75,17.94,16.59,,6.78%
2018/1/31,17.97,18.29,18.29,16.93,,1.81%
2018/2/1,17.2,17.37,17.37,16.65,,-4.28%
2018/2/2,17.51,17.45,18.32,17.29,,1.80%
2018/2/5,20.45,20.94,22.74,19.46,,16.79%
2018/2/6,31.02,28.15,35.34,27.79,,51.69%
2018/2/7,30.97,25.21,31.39,24.01,,-0.16%
2018/2/8,28.07,27.94,29.8,27.15,,-9.36%
2018/2/9,36.05,35.52,38.31,33.45,,28.43%
2018/2/13,33.75,25.27,33.77,22.93,,-6.38%
2018/2/14,30.02,30.89,33.1,28.35,,-11.05%
2018/2/15,25.37,26.29,26.93,24.73,,-15.49%
2018/2/16,23.48,24.13,24.82,23.03,,-7.45%
2018/2/19,22.21,23.22,23.22,21.94,,-5.41%
2018/2/20,23.84,22.4,24.85,22.28,,7.34%
2018/2/21,22.96,23.33,24.12,22.19,,-3.69%
2018/2/22,25.01,24.36,25.4,24.03,,8.93%
2018/2/23,22.08,23.42,23.76,22.07,,-11.72%
2018/2/26,20.72,21.68,21.87,20.72,,-6.16%
2018/2/27,21.03,19.95,21.27,19.75,,1.50%
2018/2/28,22.09,21.61,22.42,21.06,,5.04%
2018/3/1,24.59,23.13,25.07,23.13,,11.32%
2018/3/2,26.88,27.64,28.72,26.1,,9.31%
2018/3/5,28.39,29.53,29.83,27.12,,5.62%
2018/3/6,25.62,25.1,29.18,24.47,,-9.76%
2018/3/7,27.39,26.59,28.27,25.84,,6.91%
2018/3/8,25.09,25.35,25.81,24.79,,-8.40%
2018/3/9,24.34,23.8,25.4,23.17,,-2.99%
2018/3/12,22.37,22.22,23.88,22.12,,-8.09%
2018/3/13,21.28,23.12,23.33,21.17,,-4.87%
2018/3/14,21.15,22.23,22.23,21.15,,-0.61%
2018/3/15,21.08,21.57,22.41,21.03,,-0.33%
2018/3/16,21.79,20.74,22.43,20.46,,3.37%
2018/3/19,21.91,22.12,22.82,21.16,,0.55%
2018/3/20,22.02,23.66,24.08,21.91,,0.50%
2018/3/22,20.64,21.89,21.89,20.5,,-6.27%
2018/3/23,27,25.2,27.32,24.68,,30.81%
2018/3/26,25.41,28.2,28.23,24.77,,-5.89%
2018/3/27,22.82,24.16,24.16,22.28,,-10.19%
2018/3/28,24.11,24.34,25.39,23.83,,5.65%
2018/3/29,23.8,23.68,25.18,23.68,,-1.29%
2018/3/30,22.55,23.01,23.17,22.11,,-5.25%
2018/4/2,22.82,23.14,23.2,22.4,,1.20%
2018/4/3,22.98,24.82,25.31,22.98,,0.70%
2018/4/4,22.25,22.52,22.79,21.96,,-3.18%
2018/4/5,21.63,21.91,21.96,21.07,,-2.79%
2018/4/6,22.86,22.28,23.13,21.5,,5.69%
2018/4/9,21.24,23.04,23.08,21.12,,-7.09%
2018/4/10,20.96,21.51,21.81,20.76,,-1.32%
2018/4/11,20.89,21.37,21.41,20.65,,-0.33%
2018/4/12,19.82,20.77,20.77,19.78,,-5.12%
2018/4/13,18.46,19.09,19.27,18.44,,-6.86%
2018/4/16,17.92,18.59,18.59,17.75,,-2.93%
2018/4/17,16.88,17.75,17.82,16.86,,-5.80%
2018/4/18,16.98,16.68,17.12,16.16,,0.59%
2018/4/19,16.89,16.69,16.96,16.4,,-0.53%
2018/4/20,16,16.99,16.99,15.94,,-5.27%
2018/4/23,16.32,16.76,16.81,16.3,,2.00%
2018/4/24,16.1,16.38,16.52,15.88,,-1.35%
2018/4/25,16.43,18.14,18.14,16.39,,2.05%
2018/4/26,16.94,16.6,17.01,16.51,,3.10%
2018/4/27,16.16,16.51,16.69,16.06,,-4.60%
2018/5/1,15.93,16.82,16.93,15.91,,-1.42%
2018/5/2,15.17,15.65,15.65,15.09,,-4.77%
2018/5/7,15.42,15.63,15.92,15.31,,1.65%
2018/5/8,14.86,15.43,15.68,14.86,,-3.63%
2018/5/9,14.95,14.95,15.2,14.88,,0.61%
2018/5/10,14.77,14.65,15.01,14.39,,-1.20%
2018/5/11,15.19,14.59,15.23,14.55,,2.84%
2018/5/14,14.56,14.82,14.99,14.47,,-4.15%
2018/5/15,14.4,14.22,14.53,14.19,,-1.10%
2018/5/16,15.2,15.31,15.6,15.1,,5.56%
2018/5/17,14.5,14.52,14.68,14.36,,-4.61%
2018/5/18,14.48,14.32,14.58,14.17,,-0.14%
2018/5/21,14.54,14.76,14.81,14.33,,0.41%
2018/5/22,14.21,14.21,14.26,14.05,,-2.27%
2018/5/23,16.18,14.34,16.41,14.04,,13.86%
2018/5/24,16.96,16.16,18.29,16.12,,4.82%
2018/5/25,15.76,16.76,16.79,15.46,,-7.08%
2018/5/28,14.95,16.26,16.26,14.91,,-5.14%
2018/5/29,15.99,15.32,16.48,15.15,,6.96%
2018/5/30,18.89,18.93,20.29,18.65,,18.14%
